price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,street_in_front_of_house,width,city,district
2.740840023925201,4.394449154672439,1.6094379124341003,1.9459101490553132,1,1,1,1,1,2.5649493574615367,1.6094379124341003,0,1
2.3702437414678603,4.330733340286331,1.6094379124341003,1.791759469228055,1,1,1,1,0,1.791759469228055,,1,1
1.410986973710262,3.6109179126442243,1.3862943611198906,1.3862943611198906,1,1,1,0,0,1.6094379124341003,1.410986973710262,1,1
1.5810384379124023,4.1588830833596715,0.6931471805599453,1.0986122886681096,1,1,1,0,1,1.3862943611198906,1.4586150226995167,0,1
1.7833912195575383,4.2626798770413155,1.0986122886681096,1.3862943611198906,1,1,1,1,0,1.791759469228055,1.9459101490553132,0,0
2.0412203288596382,3.58351893845611,1.9459101490553132,1.3862943611198906,1,1,1,0,0,1.3862943611198906,1.6094379124341003,1,1
1.7578579175523736,4.290459441148391,1.6094379124341003,1.9459101490553132,1,1,1,1,1,2.5649493574615367,1.6094379124341003,0,1
1.1786549963416462,3.4657359027997265,1.6094379124341003,1.6094379124341003,0,0,0,0,1,1.3862943611198906,1.6094379124341003,1,0
0.9631743177730056,3.4965075614664802,0.6931471805599453,1.0986122886681096,1,1,1,1,1,2.1972245773362196,,0,0
2.0794415416798357,3.713572066704308,1.6094379124341003,1.9459101490553132,0,0,0,0,1,2.1972245773362196,1.667706820558076,1,1
2.3608540011180215,4.3694478524670215,1.9459101490553132,1.6094379124341003,1,1,1,1,1,1.791759469228055,1.8718021769015913,0,1
2.0412203288596382,3.6635616461296463,1.9459101490553132,1.6094379124341003,1,1,1,1,0,1.7047480922384253,1.5686159179138452,1,1
0.7654678421395714,4.51085950651685,1.0986122886681096,1.3862943611198906,0,0,0,0,1,2.3978952727983707,1.791759469228055,0,0
0.8754687373538999,3.4657359027997265,1.3862943611198906,1.3862943611198906,1,1,1,0,0,1.3862943611198906,1.6094379124341003,1,0
1.6486586255873816,3.713572066704308,1.791759469228055,1.3862943611198906,1,1,1,1,0,1.6094379124341003,1.7047480922384253,1,1
0.8544153281560676,3.8918202981106265,0.6931471805599453,1.3862943611198906,0,0,0,0,1,1.791759469228055,1.6094379124341003,0,1
1.9459101490553132,4.204692619390966,1.791759469228055,1.791759469228055,1,1,1,0,0,1.3862943611198906,1.7047480922384253,1,1
0.8671004876833832,3.367295829986474,0.6931471805599453,1.0986122886681096,0,0,0,0,0,1.791759469228055,1.6094379124341003,0,1
1.4350845252893227,3.828641396489095,1.3862943611198906,1.6094379124341003,0,0,0,1,0,1.6094379124341003,1.791759469228055,0,1
1.4701758451005928,3.7612001156935624,1.791759469228055,2.0794415416798357,1,1,1,0,0,1.3862943611198906,1.6094379124341003,1,1
1.6094379124341003,4.394449154672439,1.0986122886681096,1.6094379124341003,1,1,1,1,1,2.3978952727983707,1.8718021769015913,0,1
0.8919980393051105,4.04305126783455,0.6931471805599453,1.0986122886681096,0,0,0,0,1,1.9459101490553132,1.6094379124341003,0,1
2.4849066497880004,4.23410650459726,1.3862943611198906,1.3862943611198906,0,0,0,0,1,2.5649493574615367,2.0149030205422647,1,0
0.8837675401685949,4.07753744390572,1.0986122886681096,1.3862943611198906,0,0,0,0,1,1.9459101490553132,1.6094379124341003,0,1
1.4929040961781488,4.110873864173311,1.3862943611198906,1.6094379124341003,1,1,1,1,1,2.1972245773362196,1.6094379124341003,0,1
1.5040773967762742,4.51085950651685,1.0986122886681096,1.6094379124341003,1,1,1,1,1,2.5649493574615367,1.791759469228055,0,1
1.6582280766035324,4.51085950651685,1.0986122886681096,1.6094379124341003,1,1,1,1,1,2.5649493574615367,1.9459101490553132,0,1
1.4929040961781488,4.394449154672439,1.0986122886681096,1.6094379124341003,1,1,1,1,1,2.1972245773362196,1.791759469228055,0,1
2.0014800002101243,4.2626798770413155,1.6094379124341003,1.6094379124341003,0,0,0,0,0,1.3862943611198906,1.791759469228055,0,1
1.208960345836975,3.970291913552122,1.3862943611198906,1.791759469228055,0,0,1,0,0,1.9459101490553132,1.6094379124341003,0,0
1.791759469228055,3.713572066704308,1.0986122886681096,1.0986122886681096,1,1,1,1,1,2.1972245773362196,1.9459101490553132,1,1
0.8193392057977047,4.007333185232471,0.6931471805599453,1.0986122886681096,0,0,0,0,1,1.5040773967762742,,0,1
1.6582280766035324,4.394449154672439,1.0986122886681096,1.6094379124341003,1,1,1,1,1,1.9459101490553132,1.6094379124341003,0,1
1.6582280766035324,4.394449154672439,1.0986122886681096,1.6094379124341003,1,1,1,1,1,2.0794415416798357,1.6094379124341003,0,1
1.55814461804655,4.394449154672439,1.0986122886681096,1.6094379124341003,1,1,1,1,1,1.791759469228055,1.6094379124341003,0,1
1.4469189829363254,4.394449154672439,1.0986122886681096,1.6094379124341003,1,1,1,1,1,1.791759469228055,1.6094379124341003,0,1
1.6582280766035324,4.394449154672439,1.0986122886681096,1.6094379124341003,1,1,1,1,1,1.9459101490553132,1.6094379124341003,0,1
1.8245492920510458,4.007333185232471,1.3862943611198906,1.3862943611198906,1,1,1,1,0,1.6094379124341003,1.6094379124341003,0,1
2.0347056478384444,4.442651256490317,1.3862943611198906,1.3862943611198906,1,1,1,1,0,1.791759469228055,1.6094379124341003,0,1
0.832909122935104,4.110873864173311,0.6931471805599453,1.0986122886681096,0,0,0,0,1,1.6094379124341003,,0,1
1.6863989535702286,3.784189633918261,1.791759469228055,1.9459101490553132,0,0,0,0,0,2.3978952727983707,1.5686159179138452,1,1
2.4849066497880004,4.04305126783455,1.791759469228055,2.0794415416798357,1,1,1,1,1,2.0794415416798357,1.6094379124341003,1,1
2.2192034840549946,4.189654742026425,1.791759469228055,2.0794415416798357,1,1,1,1,1,2.5649493574615367,1.5260563034950494,0,1
1.7578579175523736,4.290459441148391,1.0986122886681096,1.6094379124341003,1,1,1,1,1,1.9459101490553132,1.6094379124341003,0,1
1.7351891177396608,4.23410650459726,1.3862943611198906,1.6094379124341003,1,1,1,1,1,1.791759469228055,1.791759469228055,0,1
2.772588722239781,4.465908118654584,1.791759469228055,1.6094379124341003,1,1,1,1,0,2.0794415416798357,1.791759469228055,1,1
1.8870696490323797,3.7612001156935624,1.791759469228055,1.3862943611198906,0,0,0,0,0,1.6094379124341003,1.9459101490553132,0,1
2.1972245773362196,3.9318256327243257,1.791759469228055,1.791759469228055,1,1,1,1,1,2.772588722239781,,1,0
2.174751721484161,4.2626798770413155,1.0986122886681096,1.3862943611198906,1,1,1,1,0,1.9459101490553132,1.6094379124341003,0,1
2.169053700369523,3.828641396489095,1.791759469228055,1.3862943611198906,1,1,1,1,0,2.0794415416798357,1.9459101490553132,1,1
